skill,job_count,pay_range,competition,payment_status,duration,client_spent
Lead Generation,1090,"(5.0, 10.0)",9095,1.0,22,98784382.97999999
Social Media Marketing,899,"(8.0, 15.0)",8194,1.0,23,60824229.37999999
Marketing Strategy,727,"(8.0, 20.0)",6531,1.0,22,61498433.28000001
Sales,608,"(4.75, 8.0)",4103,1.0,28,121750816.96000007
Facebook,491,"(8.0, 15.0)",4785,1.0,21,24044976.93999999
Cold Calling,488,"(5.0, 8.0)",3502,1.0,25,29561516.869999997
Social Media Management,476,"(8.0, 15.0)",4362,1.0,26,17766398.529999994
Web Development,456,"(8.0, 15.0)",4987,1.0,15,21536791.46999999
JavaScript,439,"(8.0, 15.0)",4640,1.0,16,25276698.73999999
Instagram,434,"(8.0, 15.0)",4199,1.0,24,15182132.059999991
Web Design,372,"(5.0, 12.0)",4121,1.0,17,21767911.96999999
Content Writing,338,"(8.0, 20.0)",3173,1.0,23,32884068.639999956
WordPress,334,"(10.0, 20.0)",3479,1.0,17,17330024.339999996
Email Marketing,332,"(8.0, 20.0)",3265,1.0,23,27327887.530000016
Python,312,"(8.5, 20.0)",3302,1.0,13,24181105.269999985
Scheduling,293,"(5.0, 8.0)",2264,1.0,23,12357283.040000003
Search Engine Optimization,269,"(5.0, 10.0)",2706,1.0,21,10591703.200000001
Data Entry,252,"(4.0, 8.0)",2173,1.0,22,37990585.460000016
API,250,"(9.0, 20.0)",2805,1.0,15,15365997.38
Telemarketing,247,"(5.0, 8.0)",1840,1.0,27,25855724.83000001
Outbound Sales,246,"(5.0, 8.0)",1798,1.0,29,55575439.32999999
Graphic Design,238,"(5.505, 15.0)",2529,1.0,17,16365458.229999999
Communications,225,"(5.0, 9.0)",1726,1.0,29,26418737.389999997
HTML,204,"(10.0, 16.0)",2228,1.0,17,9048819.339999998
PHP,203,"(5.0, 15.0)",2114,1.0,15,12962556.980000002
Social Media Content Creation,201,"(8.0, 15.0)",1810,1.0,27,4432228.189999998
Google Ads,198,"(8.0, 19.0)",2080,1.0,23,13902886.13
CSS,186,"(10.0, 15.0)",1935,1.0,18,9208543.510000002
Google Analytics,183,"(8.0, 15.0)",1871,1.0,21,14797326.72
List Building,183,"(4.0, 7.0)",1445,1.0,20,9737832.240000004
